animeTitle	Taimanin Yukikaze
animeType	OVA
animeNumEpisode	3
releaseDate	2013-11-29 00:00:00
endDate	2016-01-29 00:00:00
animeNumMembers	
animeScore	6.49
animeUsers	3677
animeRank	
animePopularity	5293
animeDescription	Yukikaze, a student at a ninja training academy, learns new demon-fighting techniques. One day, she and her friend Akiyama Rinko decide to infiltrate an evil organization in hopes of finding Yukikaze's mother; however, to do so, there is a great price they have to pay...
animeRelated	['Taimanin Yukikaze: Taimanin Machoukyou ni Otsu', 'Taimanin Asagi', 'Makai Kishi Ingrid', 'Koutetsu no Majo Annerose', 'Taimanin Yukikaze Special', 'Taimanin Shiranui: Inyoku no Dorei Shoufu']
animeCharacters	['Mizuki, Yukikaze', 'Mizuki, Shiranui', 'Muneichi, Yazaki', 'Akiyama, Rinko', 'Akiyama, Tatsurou']
animeVoices	['Himuro, Yuri', 'Miruno, Jun']
animeStaff	[['Rokugen Alice', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['Lilith Soft', 'Original Creator'], ['Aoi, Nagisa', 'Original Character Design']]
