animeTitle	b'Bobobo-bo Bo-bobo Recap'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	503
animeRank	
animePopularity	
animeDescription	b'Recap episode aired between episodes 32 and 33. '
animeRelated	[b'Bobobo-bo Bo-bobo']
animeCharacters	[b'Bobobo-bo Bo-bobo', b'Don Patch', b'Tokoro, Tennosuke', b'Softon', b'Dengakuman', b'Heppokomaru', b'Beauty', b'Pickle', b'Gyorai Girl', b'Narrator']
animeVoices	[b'\nKoyasu, Takehito\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nSonobe, Keiichi\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nKaneda, Tomoko\nJapanese\n', b'\nShindo, Naomi\nJapanese\n', b'\nNonaka, Ai\nJapanese\n', b'\nSaito, Kimiko\nJapanese\n', b'\nOota, Shinichirou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSawai, Yoshio\n\nOriginal Creator\n\n']
