animeTitle	b'Stratos 4 Advance'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	1403
animeRank	
animePopularity	
animeDescription	b'Having failed the Comet Blaster exams mysteriously, Mikaze and her friends are sent back to the Shimoji Island base, where, with three new Meteor Sweeper trainees around, they have been promoted to instructor positions.\n\nMeanwhile, more comets are on their way to Earth, and the mysteries behind the rift in the Cosmic Emergency Management Agency\xe2\x80\x94as well as the alien parasites\xe2\x80\x94begins to unravel.'
animeRelated	[b'Stratos 4 OVA', b'Stratos 4 Advance Kanketsu-hen']
animeCharacters	[b'Honjou, Mikaze', b'Kikuhara, Karin', b'Doi, Shizuha', b'Nakamura, Ayamo', b'Kisaragi, Sayaka', b'Oozora, Miharu', b'Kubo, Chizuru', b'Boozeman, Betty', b'Earhart, Diane', b'Miyazaki, Tsubasa']
animeVoices	[b'\nKakazu, Yumi\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n', b'\nKikuchi, Shiho\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nHiramatsu, Akiko\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nHinata, Megumi\n\nTheme Song Performance\n\n', b'\nMelocure\n\nTheme Song Performance\n\n', b'\nYamauchi, Noriyasu\n\nMechanical Design, Chief Animation Director, Character Design\n\n']
