animeTitle	Transformers Superlink
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	2346
animeRank	
animePopularity	7159
animeDescription	"It has been 10 years since the fateful battle with Unicron. Many of the Decepticons who fought in the battle against Unicron have joined forces with the Autobos to mine for Energon, an alternate energy source. But a new source of evil has a risen, Alpha Q who plans to steal the Energon from the Autobots with the help of Scorponok and the Terrorcons. This new evil is trying to revive Megatron and Unicron in order to rekindle the old flames of war. 

(Source: ANN)"
animeRelated	['Transformers Galaxy Force', 'Chou Robot Seimeitai Transformers Micron Densetsu', 'Transformers Superlink Special']
animeCharacters	['Starscream', 'Convoy', 'Master Megatron', 'Jones, Kicker', 'Unicron', 'Jetfire', 'Hot Shot', 'Jones, Sally', 'Ironhide', 'Shockwave']
animeVoices	['Tobita, Nobuo', 'Konishi, Katsuyuki', 'Endou, Junichi', 'Kishio, Daisuke', 'Canna, Nobutoshi', 'Hiyama, Nobuyuki', 'Toriumi, Kousuke', 'Asano, Masumi', 'Yusa, Kouji', 'Yamanoi, Jin']
animeStaff	[['Sano, Takashi', 'Director, Episode Director, Storyboard, Key Animation'], ['Kawagoe, Jun', 'Director'], ['Satou, Yutaka', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director']]
