animeTitle	Saiyuuki
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	989
animeRank	
animePopularity	8802
animeDescription	"Upon a mountain, a monkey is born from stone—nameless, parentless, and friendless. That is, until one day, he encounters a young female monkey named RinRin, who offers to be his friend. Through RinRin's encouragement, he becomes king after a test of bravery; however, his personality sours. When RinRin tells him that humans are the most intelligent creatures on Earth, the monkey vows to become smarter than them. He leaves RinRin behind and trains with a mountain hermit who gives him the name Son-Goku.

Following Goku's imprisonment for using his newfound powers to steal a celestial fruit from heaven, he is rescued by a monk. In exchange, he is asked to accompany the monk on a journey to India. This journey will prove to be yet another challenge for the monkey to overcome.

[Written by MAL Rewrite]"
animeRelated	['Boku no Son Goku', 'Boku no Son Gokuu']
animeCharacters	['Son-Goku', 'Cho, Hakkai', 'Sanzo-hoshi', 'Sagojo', 'RinRin']
animeVoices	['Komiyama, Kiyoshi', 'Kinoshita, Hideo', 'Sekine, Nobuaki', 'Shinoda, Setsuo', 'Shindou, Noriko']
animeStaff	[['Tezuka, Osamu', 'Director, Original Creator'], ['Sugii, Gisaburou', 'In-Between Animation'], ['Okuyama, Reiko', 'In-Between Animation'], ['Hikone, Norio', 'Key Animation']]
