animeTitle	Hi-Speed Jecy
animeType	OVA
animeNumEpisode	12
releaseDate	1989-09-05 00:00:00
endDate	1990-03-05 00:00:00
animeNumMembers	1219
animeScore	6.11
animeUsers	236
animeRank	8132
animePopularity	10639
animeDescription	"Jecy is a young man on a quest for revenge; he lost his parents to the hands of the organized crime syndicate called the Bismark House - a group on a hunt to acquire a product called ‘lyzorium' at any cost.  With incredible abilities such as increased speed and agility, Jecy travels through space with a girl named Tiana; Fork Green, a priest of the Heartland religion who kills criminals slowly to send them to heaven; and a living ship called Paolon. However, Jecy's revenge won't come easily - a woman named Jera, her bloodthirsty little brother Cross and a number of other adversaries stand in their way!

(Source: Anime-Planet)"
animeRelated	['Hi-Speed Jecy']
animeCharacters	['Tiana', 'Green, Folk', 'Moor, Jecy', 'Anita', 'Mr. Markham', 'Mayor Sabatini', 'Erin', 'Sergeant Meiya', 'Pagos', 'Bismarck, Lou']
animeVoices	['Tsuburaya, Yuuko', 'Hori, Hideyuki', 'Mitsuya, Yuuji', 'Ootaki, Shinya', 'Sogabe, Kazuyuki', 'Nagai, Ichiro']
animeStaff	[['Kageyama, Shigenori', 'Director'], ['Tomita, Sukehiro', 'Script, Series Composition'], ['Funayama, Motoki', 'Theme Song Arrangement'], ['Serizawa, Rui', 'Theme Song Lyrics']]
