animeTitle	Oki ni Mesu mama
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.4
animeUsers	1020
animeRank	
animePopularity	10106
animeDescription	"An original song by Eve, sung by Hatsune Miku, animated by Waboku. Eve's self-cover uses the same animated footage and was released on November 29, 2017. Eve included his self-cover MV on his own self-made record label harapeco records's CD+DVD release on December 13, 2017 as a part of his ""Bunka"" album."
animeRelated	['Ano Ko Secret', 'Nonsense Bungaku', 'Dramaturgy']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
