animeTitle	Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	37849
animeRank	
animePopularity	2011
animeDescription	"Konohagakure hosts a special tournament for ninjas of all ranks, stirring up fervor among the rookies who are eager to prove themselves in a competition against their superiors. Additionally, the winner is granted the opportunity to create their own village decree! Despite his enthusiasm to claim the prize, Naruto Uzumaki fails to focus on the game's objective as he becomes obsessed with confronting his teacher, Kakashi Hatake, in single combat.

[Written by MAL Rewrite]"
animeRelated	['Naruto']
animeCharacters	['Uzumaki, Naruto', 'Hatake, Kakashi', 'Uchiha, Sasuke', 'Nara, Shikamaru', 'Gaara', 'Jiraiya', 'Lee, Rock', 'Haruno, Sakura', 'Hyuuga, Neji', 'Might, Guy']
animeVoices	['Takeuchi, Junko', 'Inoue, Kazuhiko', 'Sugiyama, Noriaki', 'Morikubo, Shoutarou', 'Ishida, Akira', 'Ootsuka, Houchuu', 'Masukawa, Yoichi', 'Nakamura, Chie', 'Toochika, Kouichi', 'Ebara, Masashi']
animeStaff	[['Date, Hayato', 'Director'], ['Kishimoto, Masashi', 'Original Creator'], ['Masuda, Toshio', 'Music'], ['Nishio, Tetsuya', 'Character Design']]
