animeTitle	Shin Ringetsu
animeType	OVA
animeNumEpisode	2
releaseDate	2008-11-25 00:00:00
endDate	2009-03-25 00:00:00
animeNumMembers	
animeScore	6.49
animeUsers	1363
animeRank	
animePopularity	7622
animeDescription	"A Long time ago, a curse was cast upon the Rindo family. The curse: the family could only give birth to girls. The only way to temporarily lift the curse was to have a child with someone from the Hizuki family. Once the curse was lifted, it would haunt the family again every 3rd generation. Many years have passed and now, Naoto Rindo will be the unfortunate one. His former fiancé, Suzune Hizuki has passed away due to a tragic accident and now he must impregnate one of the other four girls from the Hizuki family, however, time is running short.

But wait, did Suzune really die? Mysteries abound around what exactly did happen and will happen since Suzune is still alive."
animeRelated	['Ringetsu The Animation', 'Rensa Byoutou']
animeCharacters	['Higetsu, Ayumi', 'Rindou, Naoto', 'Higetsu, Suzune', 'Higetsu, Shino', 'Katsuyama, Aki', 'Wakoto, Haruna', 'Higetsu, Mizuna', 'Higetsu, Masakazu', 'Rindou, Manzo']
animeVoices	['Hitomi', 'Inokuchi, Yuka', 'Ishimatsu, Chiemi', 'Iwai, Yukiko', 'Mogami, Tsuguo']
animeStaff	[['Oota, Hideta', 'Producer'], ['Iuchi, Maiko', 'Theme Song Composition'], ['MOMO', 'Theme Song Lyrics, Theme Song Performance'], ['Selen', 'Original Creator']]
