animeTitle	Galaxy Angel 3 Specials
animeType	Special
animeNumEpisode	2
releaseDate	2003-11-28 00:00:00
endDate	
animeNumMembers	3406
animeScore	7.15
animeUsers	1355
animeRank	3144
animePopularity	8054
animeDescription	Specials from Galaxy Angel 3 DVDs.
animeRelated	['Galaxy Angel 3']
animeCharacters	['Sakuraba, Milfeulle', 'Blancmanche, Mint', 'H, Vanilla', 'Stollen, Forte', 'Franboise, Ranpha', 'Normad']
animeVoices	['Shintani, Ryouko', 'Sawashiro, Miyuki', 'Kanai, Mika', 'Yamaguchi, Mayumi']
animeStaff	[['Saitou, Kazuya', 'Animation Director']]
