animeTitle	b'Tayo-ui Gonglyong Adventure'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""As little buses said goodbye to Tino, they forgot about dinosaurs at all. But as little buses meet Anne, the mother of Hana the Mechanic, they hear about dinosaur mystery from Anne. \n\nHana isn't happy that her mother is still obsessed with dinosaurs and their history and such, Anne takes an adventure to find the dinosaurs and she even takes the little buses this time. \n\nMeet the newest addition to the Tayo Adventure Series!\n\n(Source: Official YouTube channel)"""
animeRelated	[b'Kkoma Bus Tayo 5']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
