animeTitle	Robo to Shoujo (Kari)
animeType	ONA
animeNumEpisode	9
releaseDate	2010-06-16 00:00:00
endDate	2011-06-19 00:00:00
animeNumMembers	
animeScore	5.51
animeUsers	720
animeRank	
animePopularity	9698
animeDescription	Bomahead is about a girl and a robot who live in a junkyard. The robot claims he wants to fight for justice with hero-like abilities, but everything always turns out wrong. The mystery behind the girl and the robot are unraveled through a rapid succession of unexpected turn of events.
animeRelated	['Robo to Shoujo (Kari): Oshirase Gekijou (Kari)']
animeCharacters	['Shoujo-chan', 'Robo-kun', 'Evil Boss', 'Evil Robo', 'Oyakata']
animeVoices	['Kawatsuma, Miho']
animeStaff	[['Aoki, Tact', 'Director, Screenplay, Music']]
