animeTitle	Hoshi Shinichi Short Short
animeType	TV
animeNumEpisode	26
releaseDate	2007-11-11 00:00:00
endDate	2008-11-17 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14094
animeDescription	"This series features stories from the acclaimed sci-fi writer Hoshi Shinichi. The episodes uses animation, live-action footage, computer graphics, and other visual means to re-enact the short stories. Each episode is a collection of several short-short stories by Hoshi Shinichi.

Note: This entry includes the pilot and the 25 TV episodes.
"
animeRelated	['Hoshi Shinichi Short Short Special']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
