animeTitle	Sensei no Ojikan: Doki Doki School Hours OVA
animeType	OVA
animeNumEpisode	7
releaseDate	2004-08-04 00:00:00
endDate	2005-02-02 00:00:00
animeNumMembers	
animeScore	6.58
animeUsers	854
animeRank	
animePopularity	9299
animeDescription	"The series is centered on 27-year-old homeroom teacher Mika Suzuki (who only looks about half her age) and the eccentric and colorful students of her class. 

(Source: Wikipedia) "
animeRelated	['Sensei no Ojikan: Doki Doki School Hours']
animeCharacters	['Kudo, Yuuichi', 'Suzuki, Mika', 'Kitagawa, Rio', 'Seki, Jougi', 'Suetake, Kenta', 'Nakayama, Chinatsu', 'Watanabe, Takumi', 'Kobayashi, Akane', 'Chamberlain, Anthony', 'Tominaga, Minako']
animeVoices	['Ueda, Yuuji', 'Minami, Omi', 'Yamazaki, Wakana', 'Taniyama, Kishou', 'Yamaguchi, Kappei', 'Shimizu, Kaori', 'Okano, Kousuke', 'Kawakami, Tomoko', 'Morikubo, Shoutarou', 'Ueda, Kana']
animeStaff	[['Shirane, Hideki', 'Script, Screenplay'], ['Hara, Yumiko', 'Animation Director'], ['Momose, Tamami', 'Original Creator']]
