animeTitle	Ashita no Joe 2
animeType	TV
animeNumEpisode	47
releaseDate	1980-10-13 00:00:00
endDate	1981-08-31 00:00:00
animeNumMembers	37113
animeScore	8.69
animeUsers	13956
animeRank	48
animePopularity	2936
animeDescription	Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover.
animeRelated	['Ashita no Joe', 'Ashita no Joe 2 (Movie)']
animeCharacters	['Yabuki, Joe', 'Tange, Danpei', 'Shiraki, Yoko', 'Rikiishi, Tooru', 'Rivera, Carlos', 'Mendoza, José', 'Kim, Yong-bi', 'Sachi', 'Gondo, Goromaki', 'Robert, Harry']
animeVoices	['Aoi, Teruhiko', 'Fujioka, Juukei', 'Tanaka, Emi', 'Nakao, Ryusei', 'Miyamura, Yoshito', 'Wakamoto, Norio', 'Shiraishi, Fuyumi', 'Watabe, Takeshi', 'Ikemizu, Michihiro']
animeStaff	[['Dezaki, Osamu', 'Director, Storyboard'], ['Nishikubo, Mizuho', 'Episode Director'], ['Takayashiki, Hideo', 'Script'], ['Nakamura, Ryuutarou', 'Key Animation']]
