animeTitle	Seikai no Monshou Special
animeType	Special
animeNumEpisode	1
releaseDate	2000-04-07 00:00:00
endDate	
animeNumMembers	3433
animeScore	7.17
animeUsers	1253
animeRank	3002
animePopularity	8038
animeDescription	A compilation of the Seikai no Monshou series with additional footage.
animeRelated	['Seikai no Monshou']
animeCharacters	['Abriel, Lafiel', 'Linn, Jinto', 'Spoor, Beneej', 'Lexshue, Plakia', 'Atosryua Syun-Atos Febdash Lyuf Raika Febdac, Srumh', 'Tlaïmh Borgh Ybdér, Laimsairh', 'Fegdakpek, Sernaik', 'Kyte']
animeVoices	['Kawasumi, Ayako', 'Imai, Yuka', 'Fukami, Rica']
animeStaff	[['Nagaoka, Yasuchika', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Yoshinaga, Aya', 'Script, Series Composition'], ['Ueda, Masuo', 'Planning']]
