animeTitle	Air Master
animeType	TV
animeNumEpisode	27
releaseDate	2003-04-02 00:00:00
endDate	2003-10-01 00:00:00
animeNumMembers	34758
animeScore	7.0
animeUsers	13232
animeRank	3792
animePopularity	3045
animeDescription	"A former gymnast, Aikawa Maki has turned her skills to a different way of life—street fighting. The only thing that truly makes her feel alive is violence. With amazing power and grace, she fights opponent after opponent, repeatedly demonstrating the gymnastic talent that earns her her nom de guerre, ""Airmaster."""
animeRelated	['Air Master']
animeCharacters	['Aikawa, Maki', 'Inui, Renge', 'Nakanotani, Mina', 'Takigawa, Yuu', 'Kawamoto, Michiru', 'Sakamoto, Julietta', 'Sakiyama, Kaori', 'Minaguchi, Yuki', 'Tokita, Shinnosuke', 'Fukamichi']
animeVoices	['Park, Romi', 'Kaneda, Tomoko', 'Yukana', 'Suzuki, Mariko', 'Asano, Masumi', 'Horiuchi, Kenyuu', 'Doi, Mika', 'Koyama, Mami', 'Seki, Tomokazu', 'Koyasu, Takehito']
animeStaff	[['Nishio, Daisuke', 'Director'], ['Itou, Naoyuki', 'Episode Director, Key Animation'], ['Ishiodori, Hiroshi', 'Episode Director'], ['Komura, Toshiaki', 'Episode Director']]
