animeTitle	Nano Invaders
animeType	TV
animeNumEpisode	52
releaseDate	2014-10-10 00:00:00
endDate	2015-10-04 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10952
animeDescription	"Nano Invaders follows the eye-popping adventures of Hikaru, 11, who is dragged into a series of battles between two rival alien clans. One day Hikaru tries on a bracelet that belongs to his classmate Mimi and he turns into a monster. Mimi’s family is a special scouting unit from planet Anima. When alien invaders from a rival planet Damon attack the city, Hikaru joins force with Mimi’s family to fight back. The battle gets on the TV, making Hikaru and the aliens instant heroes. Simple-minded Hikaru is happy to see his dream come true, not knowing that Mimi’s family is plotting to take over the earth too!

(Source: Mondo TV)"
animeRelated	[]
animeCharacters	['Mimi', 'Hikaru', 'Lee', 'David', 'Anna']
animeVoices	['Fujii, Yukiyo', 'Han, Megumi', 'Tamura, Mutsumi', 'Takase, Akimitsu', 'Ueda, Seiko']
animeStaff	[]
