animeTitle	b'Kitakaze Kozou no Kantarou'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	273
animeRank	
animePopularity	
animeDescription	"b""This music video had an original 1974 version and a 1981 version. Both versions used the exact same animated footage, the only difference were the singers. The original 1974 version was sung by Maasaki Sakai and the NHK Tokyo Children's Choir. The 1981 version was sung by Saburou Kitajima and the Hibari Children Chorus."""
animeRelated	[]
animeCharacters	[b'Tarou']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTsukioka, Sadao\n\nAnimation Director\n\n']
