animeTitle	b'Re-raise'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.0
animeUsers	561
animeRank	
animePopularity	
animeDescription	"b""Official music video for Re:vale's song Re-raise from the IDOLiSH7 game franchise. Re:vale is a duo boy idol group introduced in the 2nd half of the main story of IDOLiSH7. """
animeRelated	[b'IDOLiSH7: Second Beat!']
animeCharacters	[b'Sunohara, Momose', b'Orikasa, Yukito']
animeVoices	[]
animeStaff	[]
