animeTitle	Play Ball 2nd
animeType	TV
animeNumEpisode	13
releaseDate	2006-01-10 00:00:00
endDate	2006-03-28 00:00:00
animeNumMembers	484
animeScore	
animeUsers	
animeRank	12790
animePopularity	13029
animeDescription	A continuation of the Play Ball TV series.
animeRelated	['Play Ball']
animeCharacters	['Taniguchi, Takao', 'Oota', 'Nakayama', 'Muramatsu', 'Marui', 'Igarashi']
animeVoices	[]
animeStaff	[['Ueda, Kouji', 'Episode Director'], ['Wada, Kaoru', 'Music'], ['Kaizu, Toshiko', 'Art Director'], ['Shimizu, Keizou', 'Character Design']]
