animeTitle	Taiko no Tatsujin
animeType	TV
animeNumEpisode	26
releaseDate	2005-04-04 00:00:00
endDate	2006-05-15 00:00:00
animeNumMembers	879
animeScore	5.98
animeUsers	236
animeRank	8755
animePopularity	11452
animeDescription	A series of four minute claymation shows. Each episode shows the different antics of the various Taiko no Tatsujin characters.
animeRelated	['Taiko no Tatsujin: 15 Shuunenkinen Short Animation']
animeCharacters	['Wadadon', 'Wadakatsu', 'Mechadon', 'The Great Soul', 'Piyo Rangers']
animeVoices	['Narahashi, Miki']
animeStaff	[['Koguma, Atsuko', 'Episode Director']]
