animeTitle	Fanta Jiisan no Uta
animeType	Music
animeNumEpisode	1
releaseDate	2004-08-01 00:00:00
endDate	
animeNumMembers	77
animeScore	
animeUsers	
animeRank	15577
animePopularity	18053
animeDescription	Music video for the song Fanta Jiisan no Uta by Yumi Ishikawa and the Morinoki Children's Choir (Morinoki Jidou Gasshoudan) that was featured on NHK's Minna no Uta program. The video features former NHK announcer Tsuneji Tsukagoshi's character Fanta Jiisan. Mr. Tsukagoshi also wrote the lyrics for the song and his younger brother, Teiji Tsukagoshi, did the illustrations for the video.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
