animeTitle	Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure
animeType	Movie
animeNumEpisode	1
releaseDate	2012-03-03 00:00:00
endDate	
animeNumMembers	4131
animeScore	7.15
animeUsers	2465
animeRank	3139
animePopularity	7560
animeDescription	"Nobita and his dad buy a big rhinoceros beetle, which he promises to his dad to take good care of it. Later, Doraemon's group finds a strange island where a tribe co-exists with prehistoric creatures long believed to extinct yet preserved by a mythical beetle spirit named Golden Hercules. However, the group has to deal with a group of criminals from the future who intend to capture Golden Hercules for a profit.

(Source: Wikipedia)"
animeRelated	['Doraemon (2005)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Nobi, Nobisuke']
animeVoices	['Mizuta, Wasabi', 'Oohara, Megumi', 'Kakazu, Yumi', 'Seki, Tomokazu', 'Kimura, Subaru', 'Matsumoto, Yasunori']
animeStaff	[['Kusuba, Kouzou', 'Director, Storyboard'], ['Fukuyama, Masaharu', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition'], ['Fujiko, Fujio F.', 'Original Creator'], ['Itou, Hidetsugu', 'Key Animation']]
