animeTitle	b'Ninpen Manmaru'
animeType	b'TV'
animeNumEpisode	30
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Manmaru goes to ninja school at Nenga, where foxes and raccoons study the art of assassination under a bear ninja master. He is soon thrown in to local rivalry between the Nenga school, the Koga (monkeys), and the Iga (dogs), as well as facing temptations from the Dobe, a group of dropouts from the Nenga.\n\n(Source: The Anime Encyclopedia)'
animeRelated	[]
animeCharacters	[b'Manmaru', b'Tsunejirou', b'Tanutarou', b'Gankichi']
animeVoices	[b'\nIkezawa, Haruna\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYasumi, Tetsuo\n\nDirector\n\n', b'\nKobayashi, Katsuyoshi\n\nSound Director\n\n', b'\nYuasa, Masaaki\n\nStoryboard, Key Animation\n\n', b'\nKomatsu, Miho\n\nTheme Song Lyrics, Theme Song Performance, Theme Song Composition\n\n']
