animeTitle	Toaru Majutsu no Index-tan II
animeType	Special
animeNumEpisode	2
releaseDate	2011-01-26 00:00:00
endDate	2011-06-22 00:00:00
animeNumMembers	
animeScore	6.93
animeUsers	14494
animeRank	
animePopularity	3015
animeDescription	New series of shorts featuring Index-tan.
animeRelated	['Toaru Majutsu no Index-tan', 'Toaru Majutsu no Index II', 'Toaru Majutsu no Index-tan III']
animeCharacters	['Kamijou, Touma', 'Index Librorum Prohibitorum', 'Misaka, Mikoto', 'Accelerator', 'Shirai, Kuroko', 'Saten, Ruiko', 'Last Order', 'MISAKA 10032', 'Kanzaki, Kaori', 'Uiharu, Kazari']
animeVoices	['Abe, Atsushi', 'Iguchi, Yuka', 'Satou, Rina', 'Okamoto, Nobuhiko', 'Arai, Satomi', 'Itou, Kanae', 'Hidaka, Rina', 'Sasaki, Nozomi', 'Itou, Shizuka', 'Toyosaki, Aki']
animeStaff	[['Kamachi, Kazuma', 'Original Creator'], ['Haimura, Kiyotaka', 'Original Character Design'], ['Tanaka, Yuuichi', 'Character Design']]
