animeTitle	Issei Kiyuukyoku: Divertimento
animeType	Music
animeNumEpisode	1
releaseDate	2019-05-26 00:00:00
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	298
animeRank	
animePopularity	13014
animeDescription	Official music video for the song Issei Kiyuukyoku: Divertimento by the fictional band Irodorimidori. It is the 41st song in the franchise and focuses on Nachi Tsukisuzu.
animeRelated	['Ever Green Never End', 'Agitation!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
