animeTitle	Itsuka Tenma no Kuro Usagi Picture Drama
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	1735
animeRank	
animePopularity	6346
animeDescription	"Picture Dramas from the Blu-ray disks.

Episodes:
1 - Let's Just Do It Radio!
2 - Each One's Breakfast 
3 - Himea's Guitar Lesson
4 - Each One's Bath Time
5 - Traditional Feeling
6 - Izumi-chan's What If Series"
animeRelated	['Itsuka Tenma no Kuro Usagi']
animeCharacters	['Saito, Himea', 'Andou, Mirai', 'Kurogane, Taito', 'Kurenai, Gekkou', 'Kurenai, Hinata', 'Shigure, Haruka', 'Aomi, Izumi', 'Kurogane, Yuika']
animeVoices	['Takamoto, Megumi', 'Nomizu, Iori', 'Tachibana, Shinnosuke', 'Nakamura, Yuuichi', 'Fukuyama, Jun', 'Mina', 'Horikawa, Chika', 'Takamori, Natsumi']
animeStaff	[['Isono, Satoshi', 'Character Design']]
