animeTitle	Crush Gear Nitro
animeType	TV
animeNumEpisode	50
releaseDate	2003-02-02 00:00:00
endDate	2004-01-25 00:00:00
animeNumMembers	1434
animeScore	6.24
animeUsers	521
animeRank	7458
animePopularity	10274
animeDescription	"Story about a young boy name: Mahha Masaru, who dreamt of having a crush gear fight with the others even though he doesn't have his very own crush gear!

One day,  a sudden chance came to him and he got the legendary crush gear which look similer to the one that was used by Kouya Marino and finally he can go and paticipate in his own crush gear fight with his friends and foe!! "
animeRelated	['Crush Gear N', 'Gekitou! Crush Gear Turbo']
animeCharacters	['Okita, Hidetoshi', 'Masaru, Mahha', 'Kouda, Takeshi', 'M.U', 'J.C', 'Akusawa, Yuu', 'Fujiwara, Ginjirou', 'Leon', 'Field, Ya', 'Mahha, Mai']
animeVoices	['Iida, Toshinobu', 'Fujimoto, Takayuki', 'Takahashi, Hiroki', 'Yabe, Masahito', 'Aikawa, Rikako', 'Neya, Michiko']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Okada, Mari', 'Script, Screenplay'], ['Saitou, Miwako', 'Theme Song Lyrics'], ['Yatate, Hajime', 'Original Creator']]
