animeTitle	Street Fighter IV: Aftermath
animeType	Special
animeNumEpisode	4
releaseDate	2008-01-01 00:00:00
endDate	2009-01-01 00:00:00
animeNumMembers	182
animeScore	
animeUsers	
animeRank	13565
animePopularity	16455
animeDescription	A series of four animated prequels to Street Fighter IV, each centered on a different character. They depict events set after Street Fighter II.
animeRelated	['Street Fighter IV: Aratanaru Kizuna']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
