animeTitle	Soratobu Toshi Keikaku
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	1090
animeRank	
animePopularity	9769
animeDescription	Third animated music video for music by capsule based around their NEXUS-2060 concept—a space station resort in the year 2060. Produced by Ghibli offshoot Studio Kajino, with MOMOSE Yoshiyuki (百瀬ヨシユキ) directing. The song was released on September 7, 2005 as Side A of a single titled Aeropolis, and the animation was first shown on September 10, 2005 as a double bill with the live-action Touch movie.
animeRelated	['Portable Kuukou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
