animeTitle	Saber Marionette J Again
animeType	OVA
animeNumEpisode	6
releaseDate	1997-11-25 00:00:00
endDate	1998-06-25 00:00:00
animeNumMembers	
animeScore	7.23
animeUsers	5555
animeRank	
animePopularity	5174
animeDescription	"Lime, Cherry, and Bloodberry, female-like androids called marionettes, have returned to Otaru`s side. The somewhat reformed marionettes of Faust (Tiger, Luchs, and Panther) are sent to stay with Otaru and friends to learn more about being human. Enter a seventh marionette named Marine, who has a mysterious power -- and they all possess the special maiden circuit that allows a marionette to feel emotions!

(Source: AniDB)"
animeRelated	['SM Girls: Saber Marionette J', 'Saber Marionette J', 'Saber Marionette J to X', 'Saber Marionette R']
animeCharacters	['Lime', 'Cherry', 'Bloodberry', 'Tiger', 'Mamiya, Otaru', 'Marine', 'Luchs', 'Hess']
animeVoices	['Hayashibara, Megumi', 'Shiratori, Yuri', 'Hiramatsu, Akiko', 'Takano, Urara', 'Imai, Yuka', 'Okamoto, Maya', 'Mizutani, Yuuko', 'Nishimura, Tomohiro']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Shimoda, Masami', 'Director'], ['Sayama, Kiyoko', 'Episode Director, Storyboard, Assistant Director'], ['Hayashibara, Megumi', 'Theme Song Performance']]
