animeTitle	Saint Seiya: Kamigami no Atsuki Tatakai
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	8691
animeRank	
animePopularity	4483
animeDescription	"In northern Europe, the reincarnation of Odin, Dolbar, rules supreme. One day, Hyoga rescues a man in Siberia so warns him about trouble in the Asgard. Athena goes out to investigate and sends Hyoga in advance but when she and the others arrive at the Asgard, Hyoga is nowhere to be found. When Dolbar captures Athena to take control of the sanctuary, the bronze saints try to help her but are attacked by the God Warriors.

(Source: ANN)"
animeRelated	['Saint Seiya']
animeCharacters	['Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya', 'Andromeda, Shun', 'Cygnus, Hyouga', 'Kido, Saori', 'Dolbar', 'Rung', 'Red-bearded Soldier', 'Ullr']
animeVoices	['Hori, Hideyuki', 'Suzuoki, Hirotaka', 'Furuya, Toru', 'Horikawa, Ryo', 'Hashimoto, Kouichi', 'Han, Keiko', 'Kayumi, Iemasa', 'Genda, Tesshou', 'Gouri, Daisuke', 'Murayama, Akira']
animeStaff	[['Yamauchi, Shigeyasu', 'Director'], ['Baroli, Gilberto', 'Script, ADR Director'], ['Koyama, Takao', 'Script'], ['Yamada, Nobuo', 'Theme Song Composition']]
