animeTitle	Kappa no Coo to Natsuyasumi
animeType	Movie
animeNumEpisode	1
releaseDate	2007-07-28 00:00:00
endDate	
animeNumMembers	14539
animeScore	7.52
animeUsers	6387
animeRank	1565
animePopularity	4568
animeDescription	"Kouichi Uehara is a fourth grade student living in the suburb of Tokyo. One day, he picks up a large stone which turns out to be a fossil of a baby ""Kappa"" who has been sleeping underground for the past 300 years, and names it ""Coo."" They become good friends and Coo starts living with Kouichi's family. However, Coo has a hard time adjusting to life among humans and misses his kind."
animeRelated	[]
animeCharacters	['Coo', 'Uehara, Kouichi', 'Ossan', 'Kikuchi, Sayoko', 'Classmate 3', 'Husband', 'Toshio', 'Diner Lady', 'Shimizu, Sumio', 'Wife']
animeVoices	['Tomizawa, Kazato', 'Yokokawa, Takahiro', 'Yasuhara, Yoshito', 'Inaba, Minoru', 'Tomita, Kousei', 'Ichijou, Miyuki', 'Hazama, Michio', 'Sadaoka, Sayuri']
animeStaff	[['Sano, Hiroaki', 'Producer'], ['Hara, Keiichi', 'Director'], ['Ookuma, Akira', 'Sound Director'], ['Suzuki, Kenichi', 'Production Manager']]
