animeTitle	Baby Baachan
animeType	TV
animeNumEpisode	53
releaseDate	2002-04-08 00:00:00
endDate	2002-12-04 00:00:00
animeNumMembers	
animeScore	6.54
animeUsers	208
animeRank	
animePopularity	11816
animeDescription	"Amika is a elementary school student who dreams of becoming an idol. Her grandmother is a harsh yet wealthy woman who lives on a remote island that she owns. When her grandmother passed away, Amika's life begins to appear subtle changes. Not long after the passing of her grandmother, Amika's mother gave birth to a baby girl. Ironically, Amika's little sister looks and behaves exactly like her grandmother.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Jinguuji, Koume', 'Jinguuji, Ume', 'Jinguuji, Amika', 'Takahashi, Minatsu', 'Hamasaki, Junya', 'Hazama, Aki', 'Jinguuji, Atsuko', 'Jinguuji, Eiki']
animeVoices	['Yamamoto, Keiko', 'Fujino, Honoka', 'Okajima, Tae', 'Suganuma, Hisayoshi', 'Hikida, Yukari', 'Sumitomo, Nanae', 'Kamiya, Hiroshi']
animeStaff	[['Fujino, Honoka', 'Theme Song Performance']]
