animeTitle	Wolf Guy
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.27
animeUsers	238
animeRank	
animePopularity	10659
animeDescription	"Akira lnugami is infected with a terrible poison. The only known antidote has an unfortunate side effect-it turns him into a werewolf. He opts for survival but then has to cope with his new desires and with the attention of the military, which is in terested in using his affliction for its own purposes.

(Source: The Anime Encyclopedia)"
animeRelated	['Wolf Guy']
animeCharacters	['Inugami, Akira', 'Dlank', 'Chiifusun', 'Hǔ èr', 'Shílóng, Lín', 'Aoshika, Akiko', 'Hǔ sì', 'Sawa, Keiko', 'Hunter', 'Fukuda']
animeVoices	['Morikawa, Toshiyuki', 'Nishimura, Tomomichi', 'Ootaki, Shinya', 'Kawamura, Maria', 'Mugihito', 'Sasaki, Yuko', 'Yokoyama, Chisa', 'Sawaki, Ikuya', 'Hirose, Masashi']
animeStaff	[['Yoshinaga, Naoyuki', 'Director, Storyboard'], ['Takami, Akio', 'Animation Director'], ['Aono, Atsushi', 'Animation Director'], ['Jizoumoto, Takuji', 'Art Director']]
