animeTitle	Kasumin 3rd Season
animeType	TV
animeNumEpisode	26
releaseDate	2003-04-09 00:00:00
endDate	2003-10-01 00:00:00
animeNumMembers	486
animeScore	
animeUsers	
animeRank	16631
animePopularity	13027
animeDescription	"Kasumi Haruno is a fourth grade student. She came to Kasumi Town to see off her zoologist parents on their trip to Africa to do research. In the center of the town, surrounded by forest, is the large mansion belonging to the Kasumi family where Kasumi will be staying from now on.

Kasumi passes through the mansion's gate right away, but a strange atmosphere emanates from somewhere in the Kasumi Forest. When he finally makes it to the mansion, there are talking appliances! It would seem that members of the Kasumi family were youkai called ""Henamon"". Kasumi never dreamed she would end up living with a family of Henamon. She is very busy doing the cooking, laundry, and cleaning in exchange for living there. Surrounded by mysterious companions, what will become of Kasumi's new life?

(Source: AniDB)"
animeRelated	['Kasumin 2nd Season']
animeCharacters	['Haruno, Kasumi', 'Kasumi, Ranko', 'Haniwa-fujin', 'Fuujin', 'Kirino, Kirihiko', 'Tsuchimikado, Shikao', 'Yamada, Koala', 'Raijin', 'Corn', 'Don-chan']
animeVoices	['Mizuhashi, Kaori', 'Neya, Michiko', 'Tachibana, Yuuko', 'Nakamura, Daiki', 'Saiga, Mitsuki', 'Narahashi, Miki', 'Umezu, Hideyuki', 'Ikeda, Chigusa', 'Sakuma, Rei']
animeStaff	[['Hongou, Mitsuru', 'Director, Episode Director, Storyboard'], ['Yoshida, Reiko', 'Script'], ['Ikeda, Mamiko', 'Script'], ['Nanba, Hitoshi', 'Storyboard']]
