animeTitle	b'Photokano'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	39301
animeRank	
animePopularity	
animeDescription	b'Kazuya, a mild-mannered high school sophomore coming to the end of a very average summer break, receives a digital single lens reflex camera as a gift. His nerdy fascination with its design soon turns to wonder when he realizes this little gadget could really give his social life a shot in the arm!\n\n(Source: TBS)'
animeRelated	[]
animeCharacters	[b'Niimi, Haruka', b'Masaki, Nonoka', b'Muroto, Aki', b'Sanehara, Hikari', b'Maeda, Kanon', b'Misumi, Tomoe', b'Yunoki, Rina', b'Maeda, Kazuya', b'Sakura, Mai', b'Uchida, Yuuko']
animeVoices	[b'\nItou, Kanae\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nIse, Mariya\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nOogame, Asuka\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nKanemoto, Hisako\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYokoyama, Akitoshi\n\nDirector, Script, Series Composition\n\n', b'\nKawazoe, Kengo\n\nSound Director\n\n', b'\nItou, Tatsufumi\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nHayashi, Soutarou\n\nScript\n\n']
