animeTitle	b'Kimi no Kokoro wa Kagayaiteru kai?'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	4383
animeRank	
animePopularity	
animeDescription	b'Music video included with the debut single for the Love Live! Sunshine!! anime idol group Aqours.'
animeRelated	[b'Love Live! Sunshine!!', b'Koi ni Naritai Aquarium', b'Happy Party Train', b'Mitaiken Horizon', b'']
animeCharacters	[b'Tsushima, Yoshiko', b'Watanabe, You', b'Kunikida, Hanamaru', b'Sakurauchi, Riko', b'Ohara, Mari', b'Kurosawa, Ruby', b'Kurosawa, Dia', b'Matsuura, Kanan', b'Takami, Chika']
animeVoices	[b'\nKobayashi, Aika\nJapanese\n', b'\nSaitou, Shuka\nJapanese\n', b'\nTakatsuki, Kanako\nJapanese\n', b'\nAida, Rikako\nJapanese\n', b'\nSuzuki, Aina\nJapanese\n', b'\nFurihata, Ai\nJapanese\n', b'\nKomiya, Arisa\nJapanese\n', b'\nSuwa, Nanaka\nJapanese\n', b'\nInami, Anju\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakai, Kazuo\n\nDirector, Episode Director, Storyboard\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nHata, Aki\n\nTheme Song Lyrics\n\n', b'\nEFFY\n\nTheme Song Arrangement\n\n']
