animeTitle	b'Busou Shinki'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	11633
animeRank	
animePopularity	
animeDescription	"b'The slice-of-life battle story is set in a future that has neither World War III nor an alien invasion\xe2\x80\x94just an ordinary future set after our current age. In this world, robots are part of everyday life, and they contribute in various aspects of society. ""Shinki"" are 15-centimeter-tall (about 6-inch-tall) cute partners made to assist humans. Equipped with intelligence and emotions, they devote themselves to serving their ""Masters.""\n\nThese Shinki can even be equipped with weapons and armor to fight each other. Such Shinki are named ""Busou Shinki"" (literally, ""armed divine princesses""). In particular, the Shinki Ann (Arnval), Aines (Altines), and Lene (Altlene) serve a high school freshman named Masato. Things change when a new Shinki, the bellicose Strarf, joins them.\n\n(Source: ANN)'"
animeRelated	[b'Busou Shinki', b'Busou Shinki Moon Angel', b'Busou Shinki: Install x Dream']
animeCharacters	[b'Arnval Mk.2', b'Strarf Mk.2', b'Altlene', b'Altines', b'Rihito', b'Zelnogrard', b'Fubuki', b'Tsugaru', b'Zielbellen', b'Jindou']
animeVoices	[b'\nAsumi, Kana\nJapanese\n', b'\nChihara, Minori\nJapanese\n', b'\nNakajima, Megumi\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nMizushima, Takahiro\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nFukui, Yukari\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKikuchi, Yasuhito\n\nDirector\n\n', b'\nIida, Satoki\n\nSound Director\n\n', b'\nEgami, Kiyoshi\n\nEpisode Director\n\n', b'\nMatsuda, Kiyoshi\n\nEpisode Director, Storyboard\n\n']
