animeTitle	Nande Koko ni Sensei ga!?
animeType	TV
animeNumEpisode	12
releaseDate	2019-04-08 00:00:00
endDate	2019-06-24 00:00:00
animeNumMembers	
animeScore	6.49
animeUsers	128326
animeRank	
animePopularity	683
animeDescription	"Second year high school student Ichirou Satou has always been an average person—that is, until he runs into some not-so-average situations with his teacher, Kana ""The Demon"" Kojima. Kojima is Satou's Japanese language teacher with a reputation for being so ruthless that even school delinquents bow down to her. One fateful day, things escalate when Satou runs into Kojima in the restroom, leading them to share an intimate encounter that makes his imagination run wild for days after. 

Nande Koko ni Sensei ga? follows the daily life of Satou and his teacher as they continue to meet under similar conditions, growing ever closer with each encounter.

[Written by MAL Rewrite]"
animeRelated	['Nande Koko ni Sensei ga!?', 'Nande Koko ni Sensei ga!? Special']
animeCharacters	['Kojima, Kana', 'Tachibana, Chizuru', 'Hazakura, Hikari', 'Matsukaze, Mayu', 'Satou, Ichirou', 'Suzuki, Rin', 'Takahashi, Takashi', 'Tanaka, Kou', 'Satou, Saki', 'Satou, Shio']
animeVoices	['Uesaka, Sumire', 'Yamamoto, Nozomi', 'Ishigami, Shizuka', 'Gotou, Yuuko', 'Suzuki, Ryouta', 'Masuda, Toshiki', 'Yamamoto, Kazutomi', 'Kobayashi, Yuusuke', 'Nabatame, Hitomi', 'Nitta, Hiyori']
animeStaff	[['Kaneko, Hiraku', 'Director'], ['Tokoro, Toshikatsu', 'Director'], ['Morishita, Hiroto', 'Sound Director'], ['Takabayashi, Yuuki', 'Script']]
