animeTitle	b'Bernard-jou Iwaku.: Ofuro Dokusho'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	544
animeRank	
animePopularity	
animeDescription	b'Special episode included with BD/DVD release.'
animeRelated	[b'Bernard-jou Iwaku.']
animeCharacters	[b'Kanbayashi, Shiori', b'Machida, Sawako']
animeVoices	[b'\nKomatsu, Mikako\nJapanese\n', b'\nKitamura, Eri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShikawa, Yuuki\n\nOriginal Creator\n\n']
