animeTitle	Da Wang Bu Gaoxing
animeType	ONA
animeNumEpisode	12
releaseDate	2020-01-01 00:00:00
endDate	2020-03-11 00:00:00
animeNumMembers	2373
animeScore	6.43
animeUsers	493
animeRank	6521
animePopularity	9007
animeDescription	We follow the daily life of Xiao Luo, a young yama (god and judge of the dead) who is afraid of ghosts. In order to properly reign in the underworld, she will have to face her fears.
animeRelated	['Da Wang Bu Gaoxing 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
