animeTitle	Rurouni Kenshin: Special Techniques
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	3604
animeRank	
animePopularity	5126
animeDescription	"Similiar to the ""Himura Kenshin's Greatest Hits"" from the first special, this episode goes through every technique of the Hiten Mitsurugi Ryuu and explains how it works."
animeRelated	['Rurouni Kenshin: Meiji Kenkaku Romantan']
animeCharacters	['Himura, Kenshin', 'Saitou, Hajime', 'Sagara, Sanosuke', 'Hiko, Seijuurou', 'Kamiya, Kaoru', 'Myoujin, Yahiko', 'Udou, Jine', 'Amakusa, Shougo', 'Sawagejou, Chou', 'Isurugi, Raijuta']
animeVoices	[]
animeStaff	[]
