animeTitle	"Maou-sama, ""Petit"" Retry!"
animeType	ONA
animeNumEpisode	23
releaseDate	2019-06-17 00:00:00
endDate	2019-09-28 00:00:00
animeNumMembers	
animeScore	5.97
animeUsers	700
animeRank	
animePopularity	7840
animeDescription	Special short of Maou-sama, Retry! published on the official Twitter.
animeRelated	['Maou-sama, Retry!']
animeCharacters	['Kunai, Hakuto', 'Aku', 'Elegant, Luna ', 'Queen, Killer', 'White, Angel', 'Kirino, Yuu']
animeVoices	['Tsuda, Kenjirou', 'Takao, Kanon', 'Ishihara, Kaori', 'Tomatsu, Haruka', 'Toyosaki, Aki', 'Satou, Rina']
animeStaff	[['Shiba, Ryou', 'Episode Director, Key Animation'], ['Iwasa, Takahiro', 'Script'], ['Yoshitomo', 'Character Design']]
