animeTitle	Origami Warriors
animeType	TV
animeNumEpisode	52
releaseDate	2004-01-01 00:00:00
endDate	
animeNumMembers	383
animeScore	
animeUsers	
animeRank	12611
animePopularity	13702
animeDescription	"Wang Ji-Cheol and his four friends are strong and brave Origami Warriors. He and the others are planning to save the whole entire world with the power he and his friends have. Join Ji-Cheol and his four friends in their adventure to save the Earth. 

With the help of many people, Ji-Cheol feels more strong. One day, the end of the world came and Ji-Cheol himself transform into a strong dragon for his sake to save the world. His friends also help him. And at last, they became the heroes of the world because of their courage."
animeRelated	[]
animeCharacters	['Wang, Ji-Cheol', 'Seo, Dae-Jin', 'Kwang, Yong', 'Toongi', 'Jeong, Yeo-Rin', 'Hyeon, Dai-Kook']
animeVoices	[]
animeStaff	[['Takegami, Junki', 'Setting'], ['Hashi, Katsuhiro', 'Art Director'], ['Taiga, Hiroyuki', 'Character Design']]
