animeTitle	Yuusha, Yamemasu
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-04-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	19109
animeDescription	"After saving the world, the strongest hero Leo became someone who is not wanted in the peaceful human world. He was too strong. Exiled, he seeks a job at the Demon King's Army, which he had defeated and needs to be rebuilt.

The Army had many problems: too much work, financial troubles, etc. Leo starts to make things better using his power. Leo encounters Echidna again, and asks her why she invaded the human world. There was an unexpected story...! 

(Source: Kadokawa)"
animeRelated	['Yuusha, Yamemasu: Tsugi no Shokuba wa Maoujou']
animeCharacters	['Echidna', 'Demonheart, Leon', 'Lili', 'Steina', 'Edwald', 'Melnes']
animeVoices	['Hondo, Kaede', 'Ono, Kensho', 'Oowada, Hitomi', 'Itou, Shizuka', 'Inada, Tetsu', 'Uchiyama, Yumi']
animeStaff	[['Nobuta, Yuu', 'Director'], ['Ishii, Hisashi', 'Director'], ['Murakoshi, Shigeru', 'Series Composition'], ['Nakano, Yuki', 'Character Design']]
