animeTitle	Kamisama Kazoku
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	20503
animeRank	
animePopularity	2647
animeDescription	Samatarou is not just an average high-school boy, the truth is that he is the son of a god, his mother is a goddess and his sisters are candidates to become goddesses. They are living in the human world, because they want their boy to learn about the human customs and the habits of the creatures that they are protecting, so that in this way Samatarou will become a better god. Tenko is a angel assigned to look after Samatarou. She's born the same day, same year as Samatarou and have been close friends ever since. Life seems normal but things start to change with the appearance of a transfer student named Kumiko. Samatarou falls in love with her and from now on, things will be a lot more different for him. His decision of making her fall in love with him without using his powers will put him in trouble.
animeRelated	['Kamisama Kazoku']
animeCharacters	['Kamiyama, Tenko', 'Kamiyama, Samatarou', 'Komori, Kumiko', 'Kamiyama, Venus', 'Kamiyama, Osamu', 'Kamiyama, Meme', 'Suguru', 'Komori, Fumiko', 'Kirishima, Shinichi', 'Kamiyama, Misa']
animeVoices	['Koshimizu, Ami', 'Kishio, Daisuke', 'Maeda, Ai', 'Katsuragi, Nanaho', 'Ebara, Masashi', 'Kanda, Akemi', 'Takato, Yasuhiro', 'Kouda, Mariko', 'Miura, Hiroaki', 'Touma, Yumi']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Chioka, Kimitoshi', 'Director, Episode Director'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard'], ['Andou, Ken', 'Episode Director']]
