animeTitle	Aki-Sora: Yume no Naka
animeType	OVA
animeNumEpisode	2
releaseDate	2010-07-30 00:00:00
endDate	2010-11-17 00:00:00
animeNumMembers	69694
animeScore	6.02
animeUsers	40928
animeRank	8538
animePopularity	2047
animeDescription	A sequel to Aki-Sora under a new name.
animeRelated	['Aki-Sora']
animeCharacters	['Aoi, Aki', 'Aoi, Nami', 'Aoi, Sora', 'Satsuki, Runa', 'Sumiya, Kana']
animeVoices	['Taguchi, Hiroko', 'Igarashi, Hiromi', 'Ono, Ryouko']
animeStaff	[['Nagai, Masaru', 'Producer'], ['Takahashi, Takeo', 'Director, Storyboard'], ['Ueda, Shigeru', 'Episode Director'], ['Koyasu, Hideaki', 'Script']]
