animeTitle	Kyoudai Koguma
animeType	Movie
animeNumEpisode	1
releaseDate	1932-01-01 00:00:00
endDate	
animeNumMembers	306
animeScore	5.41
animeUsers	159
animeRank	10643
animePopularity	14509
animeDescription	"Spring—birds are singing, frogs are dancing. A cave mother tells the bear to play outside with his brother's son. But beware of scary humans. When a bear takes sumo and eats honey, the hunter shoots with a gun. Two people who saw the human for the first time finally arrive at the cave where the mother bears are born. To a child bear who was impressed by the person walking and walking, her mother bears teach standing to walk. Swallows and cranes flew away, summer is over and autumn also deepens. Parent-child bears will be able to stand and walk as they practice. After imitating a hunter and standing and walking, watching the appearance of a walking bear, she thinks that the mountain animals are human beings. A bear boasting to be proud of being proud in front of animals. A real hunter appeared there and the animals fled at once, but the baby girls responded by imitating humans. But there is no translation to the hunter, the two crawl underneath the tree and jump, jump over the valley with four legs, and lift it.

(Source: animation.filmarchives.jp, edited)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
