animeTitle	b'Play Ball'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	140
animeRank	
animePopularity	
animeDescription	"b""After fracturing a finger in a junior high school game, Takao Taniguchi is unable to play baseball. After entering Sumitani High School, he is constantly watching the baseball club even though he is unable to play. He catches the eye of the captain of the soccer club, and while he still has lingering hopes of joining the baseball club, he decides to join the soccer club. \n\nWhile he's a complete beginner, Taniguchi developed a strong spirit of hard work while in junior high school and his new teammates begin to see his potential. While he focuses all of his energy on soccer, he is unable to forget his youthful zeal for baseball and he begins umpiring baseball games in secret.\n\n(Source: Wikipedia)"""
animeRelated	[b'Play Ball', b'Play Ball 2nd', b'Captain (TV)']
animeCharacters	[b'Taniguchi, Takao', b'Nakayama', b'Oota', b'Sasaki', b'Muramatsu', b'Marui', b'Igarashi', b'Konno', b'Matsumoto', b'Aiki']
animeVoices	[b'\nFukui, Shinsuke\nJapanese\n', b'\nTaketani, Kazuki\nJapanese\n', b'\nTaniguchi, Yuuki\nJapanese\n', b'\nSatou, Michiru\nJapanese\n', b'\nOgihara, Hideki\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShibuichi, Setsuko\n\nDirector\n\n', b'\nNoshitani, Mitsutaka\n\nEpisode Director, Storyboard\n\n', b'\nUeda, Kouji\n\nEpisode Director\n\n', b'\nMaejima, Kenichi\n\nEpisode Director, Storyboard\n\n']
