animeTitle	Venus Versus Virus
animeType	TV
animeNumEpisode	12
releaseDate	2007-01-12 00:00:00
endDate	2007-03-30 00:00:00
animeNumMembers	
animeScore	6.38
animeUsers	10161
animeRank	
animePopularity	3431
animeDescription	"Venus Versus Virus follows regular schoolgirl Sumire who's had the ability to see ghosts since a young age. She tells friends and family about this fact and they just dismiss it, thinking she's a liar. A chance encounter with a broach flying out of nowhere, a monster and gothloli clad monster killer named Lucia leaves her with a life changing decision to use her ability and fight against these ""viruses"" feeding upon the human race.

(Source: AnimeNewsService) "
animeRelated	['Venus Versus Virus']
animeCharacters	['Nahashi, Lucia', 'Takahana, Sumire', 'Mikumo, Nene', 'Lola', 'Layla', 'Ruka', 'Kusanagi, Yoshiki', 'Nogami, Tsukuyo', 'Mika', 'Risa']
animeVoices	['Takagaki, Ayahi', 'Chihara, Minori', 'Nogawa, Sakura', 'Tsuji, Ayumi', 'Itsuki, Yui', 'Furushima, Kiyotaka', 'Yahagi, Sayuri', 'Miyake, Kaya', 'Mochizuki, Hisayo']
animeStaff	[['Nakamura, Shinichi', 'Producer'], ['Kimura, Shinichiro', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Okazaki, Yukio', 'Episode Director']]
