animeTitle	Noblesse: Awakening
animeType	ONA
animeNumEpisode	1
releaseDate	2016-02-04 00:00:00
endDate	
animeNumMembers	102733
animeScore	7.41
animeUsers	54600
animeRank	1924
animePopularity	1588
animeDescription	"Long ago lived the ""nobles,"" an ancient race of immortal supernatural beings. They were revered as rulers and gods. Among the nobles was the ""Noblesse,"" a powerful individual shrouded in mystery named Cadis Etrama di Raizel, or ""Rai."" Upon awakening in South Korea after an 820-year-long sleep, Rai sets to find his loyal and devoted servant, Frankenstein, whom he discovers to be the current director of Ye Ran High School. In his wish to learn more about modern civilization, Rai enrolls as a student to better experience life in the modern world.

Noblesse: Awakening details the beginning of Rai's new life as a high school student as he spends time with friends and fights threats both human and supernatural in order to prevent their schemes from harming Korea.

[Written by MAL Rewrite]"
animeRelated	['Noblesse', 'Noblesse: Pamyeol-ui Sijak']
animeCharacters	['Cadis Etrama Di Raizel', 'Frankenstein', 'M-21', 'Han, Shin-Woo', 'Ik-Han, Woo', 'Suh, Yuna', 'M-24', 'Jake', 'Mary']
animeVoices	['Shingaki, Tarusuke', 'Hirakawa, Daisuke', 'Oda, Hisafumi', 'Hatanaka, Tasuku', 'Nagatsuka, Takuma', 'Yonezawa, Madoka', 'Tanzawa, Teruyuki', 'Ookawa, Tooru', 'Nabatame, Hitomi']
animeStaff	[['Kuroki, Rui', 'Producer'], ['Tada, Shunsuke', 'Director'], ['Kanegae, Tooru', 'Sound Director'], ['Teraoka, Iwao', 'Storyboard']]
