animeTitle	Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky
animeType	OVA
animeNumEpisode	3
releaseDate	2010-11-17 00:00:00
endDate	2011-06-17 00:00:00
animeNumMembers	60918
animeScore	7.6
animeUsers	30343
animeRank	1290
animePopularity	2239
animeDescription	"First episode is based on the 16th volume of the manga. Features Ikki vs. Ringo.

Second episode is based on the 23rd/24th volume of the manga. Features Kogarasumaru vs. Sleeping Forest inside Inorganic Net."
animeRelated	['Air Gear']
animeCharacters	['Minami, Itsuki', 'Wanijima, Agito', 'Simca', 'Mikura, Kazuma', 'Noyamano, Ringo', 'Sumeragi, Kururu', 'Spitfire', 'Takeuchi, Sora', 'Mihotoke, Issha', 'Sano, Yasuyoshi']
animeVoices	['Okamoto, Nobuhiko', 'Shiraishi, Ryouko', 'Kawasumi, Ayako', 'Irino, Miyu', 'Tomatsu, Haruka', 'Fukui, Yukari', 'Seki, Tomokazu', 'Suzumura, Kenichi', 'Miyake, Kenta', 'Sugita, Tomokazu']
animeStaff	[['Ishihira, Shinji', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Yamato, Naomichi', 'Episode Director'], ['Maekawa, Atsushi', 'Script']]
