animeTitle	b'Sensitive Pornograph'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	24761
animeRank	
animePopularity	
animeDescription	"b""For four young men, love and intimacy are in the air, even though they may not be aware of it. Sensitive Pornograph holds within it two tales of sexual romance for two different couples of men. The first is a tale between two manga artists, Seiji Yamada and Sono Hanasaki. Both are familiar with each other's work, though upon meeting each other, Seiji is shocked to find out that Sono is actually a man, ten years his senior. Love quickly blossoms between the two, but will soon be tested when Seiji begins to hear rumors about Sono's past sexual exploits.\n\nIn the second tale, Koji Ueno is a part-time pet sitter, hired to take care of a rabbit named Aki for a new client. To Koji's complete surprise though, not only is there no rabbit in the house, but the only thing in the apartment is a bound and gagged man in the closet who says that he is Aki. More troubling than this is that Aki informs Koji that they are both in danger of upsetting the client, and the only way for Koji to get out safely is for them to make love together.\n\nTwo stories, four men, and the one emotion of love that unites them all in the new twists their lives have taken."""
animeRelated	[b'Sensitive Pornograph']
animeCharacters	[b'Hanasaki, Sono', b'Ayamatsu, Aki', b'Yamada, Seiji', b'Ueno, Koji', b'Master', b'Yasuda']
animeVoices	[b'\nTaniyama, Kishou\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nKawada, Shinji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n', b'\nGokurakuin, Sakurako\n\nOriginal Creator, Original Character Design\n\n', b'\nAmano, Masamichi\n\nMusic\n\n', b'\nMutou, Akiko\n\nSound Effects\n\n']
