animeTitle	b'Chikan Monogatari'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	2027
animeRank	
animePopularity	
animeDescription	"b'The phrase ""hard work"" takes on an entirely new--and sexy--meaning in Legend of the Pervert. With the office as its setting, this adults-only anime features a woman who enjoys a little solo fun in her office in the mornings and a young man whose female coworkers make him do naughty acts that would make human resources cringe.'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
