animeTitle	"b""Black Lagoon: Roberta's Blood Trail"""
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	8.03
animeUsers	135305
animeRank	
animePopularity	
animeDescription	"b""Roberta, the terrorist-turned-maid that made her appearence in the first season of Black Lagoon, returns in this five-episode OVA series\xe2\x80\x94and this time, all bets are off!\n\nRoberta's benefactor, the patriarch of the Lovelace clan, is murdered during a political rally. The assassin's trail soon leads back to Roanapur\xe2\x80\x94so now she has returned on a mission of vengeance! However, close behind her is the new patriarch, Garcia, as well as Roberta's apprentice (and maid), Fabiola Iglesias. As the body count of Roberta's bloody rampage mounts, forces from within the corrupt island (which includes the Lagoon Company), as well as overseas converge on what threatens to escalate into all-out war!"""
animeRelated	[b'Black Lagoon', b'Black Lagoon: The Second Barrage']
animeCharacters	[b'Revy', b'Okajima, Rokurou', b'Roberta', b'Dutch', b'Benny', b'Iglesias, Fabiola', b'Garcia Lovelace, Fernando', b'Balalaika', b'Eda', b'Chang, Bai Ji-Shin']
animeVoices	[b'\nToyoguchi, Megumi\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nTomizawa, Michie\nJapanese\n', b'\nIsobe, Tsutomu\nJapanese\n', b'\nHirata, Hiroaki\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n', b'\nIkura, Kazue\nJapanese\n', b'\nKoyama, Mami\nJapanese\n', b'\nKarasawa, Jun\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatabuchi, Sunao\n\nDirector, Episode Director, Script, Storyboard, Series Composition\n\n', b'\nKatsuki, Kunio\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nUratani, Chie\n\nEpisode Director, Storyboard, Key Animation, Animation Director\n\n', b'\nMuroi, Fumie\n\nEpisode Director\n\n']
