animeTitle	Atashin'chi
animeType	TV
animeNumEpisode	330
releaseDate	2002-04-19 00:00:00
endDate	2009-09-19 00:00:00
animeNumMembers	4081
animeScore	7.27
animeUsers	1366
animeRank	2555
animePopularity	7587
animeDescription	"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuusuke and Mikan. Wacky humor about this weird family's daily life.

(Source: AniDB)"
animeRelated	"[""Atashin'chi"", ""Atashin'chi Movie"", ""Atashin'chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou"", ""Atashin'chi Specials"", ""Shin Atashin'chi""]"
animeCharacters	['Tachibana, Mother', 'Tachibana, Yuzuhiko', 'Tachibana, Mikan', 'Tachibana, Father', 'Yoshioka', 'Iwaki', 'Toyama', 'Mizushima', 'Shimizu', 'Fujino']
animeVoices	['Watanabe, Kumiko', 'Inokuchi, Yuka', 'Orikasa, Fumiko', 'Yamaguchi, Kappei']
animeStaff	[['Daichi, Akitarou', 'Director'], ['Yasumi, Tetsuo', 'Director'], ['Ishihara, Tatsuya', 'Episode Director, Storyboard'], ['Yamamoto, Yutaka', 'Episode Director, Storyboard']]
