animeTitle	Monster Farm: Legend e no Michi
animeType	TV
animeNumEpisode	25
releaseDate	2000-04-01 00:00:00
endDate	2000-09-30 00:00:00
animeNumMembers	
animeScore	6.75
animeUsers	7203
animeRank	
animePopularity	4564
animeDescription	"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare.

Continuing from where the original story left off, Genki and friends journey to conquer the legend cup in hopes of freeing Holly's father from the mystery disc.

(Source: AniDB)"
animeRelated	['Monster Farm: Enbanseki no Himitsu']
animeCharacters	['Rygar', 'Sakura, Genki', 'Suezo', 'Mocchi', 'Holly', 'Golem', 'Ham', 'Gingi Rygar', 'Allan']
animeVoices	['Yao, Kazuki', 'Yokoyama, Chisa', 'Takagi, Wataru', 'Shiratori, Yuri', 'Kouda, Mariko', 'Uchida, Naoya', 'Sasaki, Nozomu', 'Nakamura, Daiki', 'Naitou, Ryou']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Kuriyama, Yoshihide', 'Episode Director'], ['Ishida, Tooru', 'Episode Director'], ['Komura, Toshiaki', 'Episode Director, Storyboard']]
