animeTitle	Ijoku
animeType	OVA
animeNumEpisode	2
releaseDate	2006-07-14 00:00:00
endDate	2006-11-10 00:00:00
animeNumMembers	2189
animeScore	5.62
animeUsers	687
animeRank	
animePopularity	9189
animeDescription	Ryuki has made a full recovery, and now it's finally time to check out of the hospital; however, he's desperate not to leave! The head nurse, Rumi, has a penchant for tying down the other nurses and torturing them while masturbating. Nurse Nozomi needs to have sex constantly, with anyone or anything. Nurses Sarina and Rinka have even stranger desires. Ryuki's not going anywhere until he's gone through the whole nursing staff, and the hospital director Himiko, too! 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
