animeTitle	Sunohara-sou no Kanrinin-san
animeType	TV
animeNumEpisode	12
releaseDate	2018-07-05 00:00:00
endDate	2018-09-20 00:00:00
animeNumMembers	
animeScore	6.82
animeUsers	43287
animeRank	
animePopularity	1408
animeDescription	"Shiina Aki is constantly being treated like a girl due to his feminine looks so he decides to move to Tokyo to attend middle school in an attempt to change himself.

However, what awaits him in his new home, Sunohara-sou, is the kind-hearted caretaker, Sunohara Ayaka. Along with the three female members of Aki's new middle school's student council, Yukimoto Yuzu, Yamanashi Sumire, and Kazami Yuri.

And so begins Aki's new life in Tokyo living with four girls."
animeRelated	['Sunohara-sou no Kanrinin-san']
animeCharacters	['Sunohara, Ayaka', 'Shiina, Aki', 'Sunohara, Nana', 'Yukimoto, Yuzu', 'Kazami, Yuri', 'Uchifuji, Mea', 'Yamanashi, Sumire', 'Shiina, Matsuri', 'Nishiki, Yatsuho', 'Osonoi, Maiko']
animeVoices	['Satou, Rina', 'Kitamura, Eri', 'Sakura, Ayane', 'Takamori, Natsumi', 'Miyamoto, Yume', 'Nagatsuma, Juri', 'Seto, Asami', 'Kayano, Ai', 'Itou, Shizuka', 'Nakajima, Megumi']
animeStaff	[['Oonuma, Shin', 'Director'], ['Minato, Mirai', 'Director'], ['Shimo, Fumihiko', 'Script, Series Composition'], ['Yamada, Yuka', 'Script']]
