animeTitle	Rinne no Lagrange: Kamogawa Memoria
animeType	Special
animeNumEpisode	1
releaseDate	2012-07-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	729
animeRank	
animePopularity	8510
animeDescription	A recap episode of the first season of Rinne no Lagrange.
animeRelated	['Rinne no Lagrange']
animeCharacters	['Kyouno, Madoka', 'Fin E Ld Si, Laffinty', 'Muginami', 'Tadokoro, Shouzou', 'Lizamarie de Rochefort, Astelia', 'Nakaizumi, Youko']
animeVoices	['Ishihara, Kaori', 'Seto, Asami', 'Kayano, Ai', 'Yasumura, Makoto', 'Kanemoto, Hisako', 'Noto, Mamiko']
animeStaff	[['Satou, Tatsuo', 'Director'], ['Suzuki, Toshimasa', 'Director'], ['Nakajima, Megumi', 'Theme Song Performance'], ['Faber, Rasmus', 'Theme Song Composition, Theme Song Arrangement']]
