animeTitle	Taisei Kensetsu: Singapore
animeType	Special
animeNumEpisode	1
releaseDate	2018-05-07 00:00:00
endDate	
animeNumMembers	1792
animeScore	5.88
animeUsers	886
animeRank	9107
animePopularity	9733
animeDescription	A 30-second animated commercial for the construction company Taisei. The commercial highlights Thomson–East Coast MRT line that Taisei is currently participating construction in.
animeRelated	['Taisei Kensetsu: Bosporus Kaikyou Tunnel', 'Taisei Kensetsu: Shin Doha Kokusai Kuukou', 'Taisei Kensetsu: Sri Lanka Kousokudouro', 'Taisei Kensetsu: Vietnam Noi Bai Kuukou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
