animeTitle	Sore dake ga Neck
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	2333
animeRank	
animePopularity	6725
animeDescription	"Set in a convenience store that seems to be everywhere, through the appearance of a convenience store clerk who does not talk properly, while raising problems with the way of modern communication, we will approach the secret of the mysterious hero Mutou.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Mutou', 'Adam', 'Store Manager']
animeVoices	['Kimisawa, Yuki']
animeStaff	[['Yamazaki, Aketoshi', 'Producer'], ['Fujisaki, Reina', 'Producer'], ['Sakai, Hiroyuki', 'Producer'], ['Iguchi, Noboru', 'Director']]
